URI Scheme,Template,Description,Reference
acr,prov/acr,acr,[OMA-OMNA]
adiumxtra,prov/adiumxtra,adiumxtra,[Dave_Thaler]
afp,prov/afp,afp,[Dave_Thaler]
afs,,Andrew File System global file names,[RFC1738]
aim,prov/aim,aim,[Dave_Thaler]
apt,prov/apt,apt,[Dave_Thaler]
attachment,prov/attachment,attachment,[Dave_Thaler]
aw,prov/aw,aw,[Dave_Thaler]
barion,prov/barion,barion,[Bíró_Tamás]
beshare,prov/beshare,beshare,[Dave_Thaler]
bitcoin,prov/bitcoin,bitcoin,[Dave_Thaler]
bolo,prov/bolo,bolo,[Dave_Thaler]
callto,prov/callto,callto,[Alexey_Melnikov]
chrome,prov/chrome,chrome,[Dave_Thaler]
chrome-extension,prov/chrome-extension,chrome-extension,[Dave_Thaler]
com-eventbrite-attendee,prov/com-eventbrite-attendee,com-eventbrite-attendee,[Bob_Van_Zant]
content,prov/content,content,[Dave_Thaler]
cvs,prov/cvs,cvs,[Dave_Thaler]
dlna-playsingle,prov/dlna-playsingle,dlna-playsingle,[DLNA]
dlna-playcontainer,prov/dlna-playcontainer,dlna-playcontainer,[DLNA]
dtn,,DTNRG research and development,[RFC5050]
dvb,,dvb,[draft-mcroberts-uri-dvb]
ed2k,prov/ed2k,ed2k,[Dave_Thaler]
facetime,prov/facetime,facetime,[Dave_Thaler]
feed,prov/feed,feed,[Dave_Thaler]
feedready,prov/feedready,feedready,[Mirko_Nosenzo]
finger,prov/finger,finger,[Dave_Thaler]
fish,prov/fish,fish,[Dave_Thaler]
gg,prov/gg,gg,[Dave_Thaler]
git,prov/git,git,[Dave_Thaler]
gizmoproject,prov/gizmoproject,gizmoproject,[Dave_Thaler]
gtalk,prov/gtalk,gtalk,[Dave_Thaler]
ham,,ham,[RFC7046]
hcp,prov/hcp,hcp,[Alexey_Melnikov]
icon,,icon,[draft-lafayette-icon-uri-scheme]
ipn,,ipn,[RFC6260]
irc,prov/irc,irc,[Dave_Thaler]
irc6,prov/irc6,irc6,[Dave_Thaler]
ircs,prov/ircs,ircs,[Dave_Thaler]
itms,prov/itms,itms,[Dave_Thaler]
jar,prov/jar,jar,[Dave_Thaler]
jms,,Java Message Service,[RFC6167]
keyparc,prov/keyparc,keyparc,[Dave_Thaler]
lastfm,prov/lastfm,lastfm,[Dave_Thaler]
ldaps,prov/ldaps,ldaps,[Dave_Thaler]
magnet,prov/magnet,magnet,[Dave_Thaler]
maps,prov/maps,maps,[Dave_Thaler]
market,prov/market,market,[Dave_Thaler]
message,prov/message,message,[Dave_Thaler]
mms,prov/mms,mms,[Alexey_Melnikov]
ms-help,prov/ms-help,ms-help,[Alexey_Melnikov]
ms-settings-power,prov/ms-settings-power,ms-settings-power,[urischemeowners_at_microsoft.com]
msnim,prov/msnim,msnim,[Alexey_Melnikov]
mumble,prov/mumble,mumble,[Dave_Thaler]
mvn,prov/mvn,mvn,[Dave_Thaler]
notes,prov/notes,notes,[Dave_Thaler]
oid,prov/oid,oid,[draft-larmouth-oid-iri]
palm,prov/palm,palm,[Dave_Thaler]
paparazzi,prov/paparazzi,paparazzi,[Dave_Thaler]
platform,prov/platform,platform,[Dave_Thaler]
proxy,prov/proxy,proxy,[Dave_Thaler]
psyc,prov/psyc,psyc,[Dave_Thaler]
query,prov/query,query,[Dave_Thaler]
res,prov/res,res,[Alexey_Melnikov]
resource,prov/resource,resource,[Dave_Thaler]
rmi,prov/rmi,rmi,[Dave_Thaler]
rsync,,rsync,[RFC5781]
rtmfp,prov/rtmfp,rtmfp,[RFC7425]
rtmp,prov/rtmp,rtmp,[Dave_Thaler]
secondlife,prov/secondlife,query,[Dave_Thaler]
sftp,prov/sftp,query,[Dave_Thaler]
sgn,prov/sgn,sgn,[Dave_Thaler]
skype,prov/skype,skype,[Alexey_Melnikov]
smb,prov/smb,smb,[Dave_Thaler]
smtp,prov/smtp,smtp,[draft-melnikov-smime-msa-to-mda]
soldat,prov/soldat,soldat,[Dave_Thaler]
spotify,prov/spotify,spotify,[Dave_Thaler]
ssh,prov/ssh,ssh,[Dave_Thaler]
steam,prov/steam,steam,[Dave_Thaler]
submit,prov/submit,submit,[draft-melnikov-smime-msa-to-mda]
svn,prov/svn,svn,[Dave_Thaler]
teamspeak,prov/teamspeak,teamspeak,[Dave_Thaler]
teliaeid,prov/teliaeid,teliaeid,[Peter_Lewandowski]
things,prov/things,things,[Dave_Thaler]
udp,prov/udp,udp,[Dave_Thaler]
unreal,prov/unreal,unreal,[Dave_Thaler]
ut2004,prov/ut2004,ut2004,[Dave_Thaler]
ventrilo,prov/ventrilo,ventrilo,[Dave_Thaler]
view-source,prov/view-source,view-source,[Mykyta_Yevstifeyev]
webcal,prov/webcal,webcal,[Dave_Thaler]
wtai,prov/wtai,wtai,[Dave_Thaler]
wyciwyg,prov/wyciwyg,wyciwyg,[Dave_Thaler]
xfire,prov/xfire,xfire,[Dave_Thaler]
xri,prov/xri,xri,[Dave_Thaler]
ymsgr,prov/ymsgr,ymsgr,[Dave_Thaler]
